Feature,Importance,model
feature_39,4.310674784880095e-06,OS Scan_feature_importance_1.0_100
feature_2,4.1726580036312506e-06,OS Scan_feature_importance_1.0_100
feature_76,4.073670818161797e-06,OS Scan_feature_importance_1.0_100
feature_65,3.619868337304909e-06,OS Scan_feature_importance_1.0_100
feature_54,3.510634432159191e-06,OS Scan_feature_importance_1.0_100
feature_50,3.297794110075593e-06,OS Scan_feature_importance_1.0_100
feature_9,3.0007917656872662e-06,OS Scan_feature_importance_1.0_100
feature_104,2.960205264473289e-06,OS Scan_feature_importance_1.0_100
feature_37,2.952685981516253e-06,OS Scan_feature_importance_1.0_100
feature_44,2.9223552566447565e-06,OS Scan_feature_importance_1.0_100
feature_110,2.842146873199649e-06,OS Scan_feature_importance_1.0_100
feature_43,2.7817697452442848e-06,OS Scan_feature_importance_1.0_100
feature_73,2.706854306148826e-06,OS Scan_feature_importance_1.0_100
feature_17,2.486250092511369e-06,OS Scan_feature_importance_1.0_100
feature_47,2.470055095726162e-06,OS Scan_feature_importance_1.0_100
feature_61,2.1690218549420897e-06,OS Scan_feature_importance_1.0_100
feature_83,2.101317777401481e-06,OS Scan_feature_importance_1.0_100
feature_36,1.5188030090360489e-06,OS Scan_feature_importance_1.0_100
feature_111,1.3925992167312316e-06,OS Scan_feature_importance_1.0_100
feature_92,1.0309456376028818e-06,OS Scan_feature_importance_1.0_100
feature_18,9.111234294514476e-07,OS Scan_feature_importance_1.0_100
feature_51,8.599051816915504e-07,OS Scan_feature_importance_1.0_100
feature_33,7.096855485894564e-07,OS Scan_feature_importance_1.0_100
feature_32,6.659031013559441e-07,OS Scan_feature_importance_1.0_100
feature_82,6.134770850533248e-07,OS Scan_feature_importance_1.0_100
feature_86,4.257350058767281e-07,OS Scan_feature_importance_1.0_100
feature_114,2.1354042084596649e-07,OS Scan_feature_importance_1.0_100
feature_90,2.1252668254252978e-07,OS Scan_feature_importance_1.0_100
feature_97,2.0789700485383826e-07,OS Scan_feature_importance_1.0_100
feature_93,2.0507215011254809e-07,OS Scan_feature_importance_1.0_100
feature_101,0.0,OS Scan_feature_importance_1.0_100
feature_100,0.0,OS Scan_feature_importance_1.0_100
feature_107,0.0,OS Scan_feature_importance_1.0_100
feature_108,0.0,OS Scan_feature_importance_1.0_100
feature_94,0.0,OS Scan_feature_importance_1.0_100
feature_87,0.0,OS Scan_feature_importance_1.0_100
feature_115,0.0,OS Scan_feature_importance_1.0_100
feature_28,0.0977138086940937,Fuzzing_feature_importance_1.0_100
feature_80,0.096562634781853,Fuzzing_feature_importance_1.0_100
feature_59,0.0934912227411919,Fuzzing_feature_importance_1.0_100
feature_79,0.0897328307118649,Fuzzing_feature_importance_1.0_100
feature_13,0.063350697732451,Fuzzing_feature_importance_1.0_100
feature_15,0.0577410137056256,Fuzzing_feature_importance_1.0_100
feature_63,0.0517013870227438,Fuzzing_feature_importance_1.0_100
feature_78,0.0481016689187058,Fuzzing_feature_importance_1.0_100
feature_109,0.0449311964750661,Fuzzing_feature_importance_1.0_100
feature_61,0.025758683025179,Fuzzing_feature_importance_1.0_100
feature_27,0.02070590349615,Fuzzing_feature_importance_1.0_100
feature_54,0.0198463158202772,Fuzzing_feature_importance_1.0_100
feature_12,0.0192237549665934,Fuzzing_feature_importance_1.0_100
feature_30,0.0183144275104144,Fuzzing_feature_importance_1.0_100
feature_47,0.0175434197045888,Fuzzing_feature_importance_1.0_100
feature_29,0.0168185351409823,Fuzzing_feature_importance_1.0_100
feature_56,0.0160014392057029,Fuzzing_feature_importance_1.0_100
feature_14,0.0152665599445095,Fuzzing_feature_importance_1.0_100
feature_112,0.0148369335489409,Fuzzing_feature_importance_1.0_100
feature_62,0.0148232199650899,Fuzzing_feature_importance_1.0_100
feature_60,0.0135558830652923,Fuzzing_feature_importance_1.0_100
feature_49,0.0115551664640911,Fuzzing_feature_importance_1.0_100
feature_110,0.008997312138194,Fuzzing_feature_importance_1.0_100
feature_6,0.0082020791140615,Fuzzing_feature_importance_1.0_100
feature_40,0.0081962220729833,Fuzzing_feature_importance_1.0_100
feature_42,0.0081600279657471,Fuzzing_feature_importance_1.0_100
feature_53,0.0077332866042391,Fuzzing_feature_importance_1.0_100
feature_8,0.0072412856812194,Fuzzing_feature_importance_1.0_100
feature_65,0.0071504999750103,Fuzzing_feature_importance_1.0_100
feature_55,0.0067856026962936,Fuzzing_feature_importance_1.0_100
feature_111,0.0066494263150158,Fuzzing_feature_importance_1.0_100
feature_64,0.0059309777265108,Fuzzing_feature_importance_1.0_100
feature_113,0.0056586392082856,Fuzzing_feature_importance_1.0_100
feature_26,0.0041983816426743,Fuzzing_feature_importance_1.0_100
feature_9,0.004194196587103,Fuzzing_feature_importance_1.0_100
feature_11,0.0040020740363948,Fuzzing_feature_importance_1.0_100
feature_41,0.0037992182583537,Fuzzing_feature_importance_1.0_100
feature_24,0.0032774902682664,Fuzzing_feature_importance_1.0_100
feature_77,0.0030100680190829,Fuzzing_feature_importance_1.0_100
feature_21,0.0027699136856935,Fuzzing_feature_importance_1.0_100
feature_3,0.0023878098299752,Fuzzing_feature_importance_1.0_100
feature_76,0.0021308106940718,Fuzzing_feature_importance_1.0_100
feature_5,0.0017403622252077,Fuzzing_feature_importance_1.0_100
