Attack,Fraction,Estimators,Accuracy,TP,TN,FP,FN,ROC AUC,Precision,Recall,F1-Score
SSL Renegotiation,1.0,100,0.9999969800927716,27655,634615,2,0,0.9999992057985514,0.9999969803111544,0.9999969800927716,0.9999969801449898
SSDP Flood,0.75,30,0.9999978198902316,324231,593152,0,2,1.0,0.9999978198975824,0.9999978198902316,0.9999978198887072
SSDP Flood,0.1,30,1.0,43271,79048,0,0,1.0,1.0,1.0,1.0
SSDP Flood,0.1,50,1.0,43271,79048,0,0,1.0,1.0,1.0,1.0
SSDP Flood,0.1,100,1.0,43271,79048,0,0,1.0,1.0,1.0,1.0
SSDP Flood,0.25,30,1.0,107787,198008,0,0,1.0,1.0,1.0,1.0
SSDP Flood,0.25,50,1.0,107787,198008,0,0,1.0,1.0,1.0,1.0
SSDP Flood,0.25,100,1.0,107787,198008,0,0,1.0,1.0,1.0,1.0
SSDP Flood,0.5,30,1.0,215930,395660,0,0,1.0,1.0,1.0,1.0
SSDP Flood,0.5,50,1.0,215930,395660,0,0,1.0,1.0,1.0,1.0
SSDP Flood,0.5,100,1.0,215930,395660,0,0,1.0,1.0,1.0,1.0
Video Injection,0.1,30,0.9999325891171872,3133,71034,1,4,0.9999999461489294,0.9999325784889248,0.9999325891171872,0.9999325737044742
Video Injection,0.1,50,0.9999595534703124,3134,71035,0,3,0.9999999820496432,0.9999595551784064,0.9999595534703124,0.9999595442226844
Video Injection,0.1,100,0.9999595534703124,3135,71034,1,2,0.999999977562054,0.999959549550736,0.9999595534703124,0.9999595503887998
Video Injection,0.25,30,0.9999838213881248,7768,177659,1,2,0.9999999869604732,0.999983820754682,0.9999838213881248,0.99998382089031
Video Injection,0.25,50,0.99998921425875,7769,177659,1,1,0.9999999963779092,0.99998921425875,0.99998921425875,0.99998921425875
Video Injection,0.25,100,0.99998921425875,7769,177659,1,1,0.9999999971023276,0.99998921425875,0.99998921425875,0.99998921425875
Video Injection,0.5,30,0.9999973035646876,15646,355213,0,1,0.9999999999100398,0.9999973035722786,0.9999973035646876,0.9999973035235016
Video Injection,0.5,50,1.0,15647,355213,0,0,1.0,1.0,1.0,1.0
Video Injection,0.5,100,0.9999973035646876,15646,355213,0,1,1.0,0.9999973035722786,0.9999973035646876,0.9999973035235016
Video Injection,0.75,30,0.9999982023796896,22999,533291,0,1,0.9999999999592358,0.9999982023830604,0.9999982023796896,0.9999982023609928
Video Injection,0.75,50,0.9999982023796896,22999,533291,0,1,1.0,0.9999982023830604,0.9999982023796896,0.9999982023609928
Video Injection,0.75,100,0.9999982023796896,22999,533291,0,1,1.0,0.9999982023830604,0.9999982023796896,0.9999982023609928
Video Injection,1.0,30,0.9999959553524844,30951,710767,2,1,0.9999999998181796,0.9999959554377011,0.9999959553524844,0.99999595538373
Video Injection,1.0,50,0.9999973035683228,30952,710767,2,0,0.9999999999090896,0.9999973037425448,0.9999973035683228,0.9999973036099828
Video Injection,1.0,100,0.9999986517841616,30952,710768,1,0,1.0,0.9999986518277182,0.9999986517841616,0.9999986517945768
OS Scan,0.1,30,1.0,1897,49039,0,0,1.0,1.0,1.0,1.0
