Feature,Importance,model
feature_40,0.0001326088878211,Video Injection_feature_importance_0.1_50
feature_17,0.0001220296418193,Video Injection_feature_importance_0.1_50
feature_81,0.0001185125912563,Video Injection_feature_importance_0.1_50
feature_85,9.862706678394528e-05,Video Injection_feature_importance_0.1_50
feature_21,9.532592990101608e-05,Video Injection_feature_importance_0.1_50
feature_32,9.22577969765182e-05,Video Injection_feature_importance_0.1_50
feature_67,8.702339865481659e-05,Video Injection_feature_importance_0.1_50
feature_33,8.579013561774867e-05,Video Injection_feature_importance_0.1_50
feature_74,7.900738929979903e-05,Video Injection_feature_importance_0.1_50
feature_42,7.221250099539475e-05,Video Injection_feature_importance_0.1_50
feature_92,6.874591822748612e-05,Video Injection_feature_importance_0.1_50
feature_23,6.776441871503287e-05,Video Injection_feature_importance_0.1_50
feature_43,6.70219299733517e-05,Video Injection_feature_importance_0.1_50
feature_5,5.990581573156523e-05,Video Injection_feature_importance_0.1_50
feature_3,5.5074691728707925e-05,Video Injection_feature_importance_0.1_50
feature_20,5.317508318691679e-05,Video Injection_feature_importance_0.1_50
feature_41,4.07514066617545e-05,Video Injection_feature_importance_0.1_50
feature_36,3.1362044725280854e-05,Video Injection_feature_importance_0.1_50
feature_18,3.127880937666255e-05,Video Injection_feature_importance_0.1_50
feature_39,2.048781719611554e-05,Video Injection_feature_importance_0.1_50
feature_35,1.9934191596792152e-05,Video Injection_feature_importance_0.1_50
feature_71,0.0,Video Injection_feature_importance_0.1_50
feature_114,0.0,Video Injection_feature_importance_0.1_50
feature_108,0.0,Video Injection_feature_importance_0.1_50
feature_87,0.0,Video Injection_feature_importance_0.1_50
feature_107,0.0,Video Injection_feature_importance_0.1_50
feature_101,0.0,Video Injection_feature_importance_0.1_50
feature_100,0.0,Video Injection_feature_importance_0.1_50
feature_86,0.0,Video Injection_feature_importance_0.1_50
feature_94,0.0,Video Injection_feature_importance_0.1_50
feature_93,0.0,Video Injection_feature_importance_0.1_50
feature_68,0.0,Video Injection_feature_importance_0.1_50
feature_115,0.0,Video Injection_feature_importance_0.1_50
feature_102,0.087217828500132,Video Injection_feature_importance_0.1_100
feature_29,0.0738292413446556,Video Injection_feature_importance_0.1_100
feature_78,0.053983192002056,Video Injection_feature_importance_0.1_100
